Name,'23-'24 Grade,Initial Diagnostic,Rickards Invitational,Boyceville Invitational,Regionals Diagnostics,Regionals,YUSO,BirdSO,States
1,10,"12/34 Anatomy & Physiology (rank), 9/13 Detector Building (rank), 5/21 Optics (rank)",,"127/142 Detector Building*, N/A Optics*, 91/169 Wind Power*","8/14 Astronomy (rank), 10/11 Detector Building (rank), 8/15 Optics (rank)",,,,
2,10,"40/47 Astronomy (score), 34/45 Tower (score)",,,,,,,
3,11,"11/18 Experimental Design (rank), 12/23 Fermi Questions (rank), 13/14 Write It Do It (rank), 7/10 Wind Power (rank)",,"103/169 Wind Power*, 149/198 Fermi Questions (Team A)","7/10 Experimental Design (rank), 18/18 Fermi Questions (rank), 11/11 Wind Power (rank)",,,,
4,9,"13/34 Anatomy & Physiology (rank), 27.5/47 Astronomy (score)",,,13/16 Anatomy & Physiology (rank),,,,
5,12,"7/21 Ecology (rank), 14/23 Fermi Questions (rank)",,,57.79% Ecology (score),,,,
6,11,"31.5/37 Fossils (score), 11/36 Geologic Mapping (score)",,Trial: 16/37 Horticulture (Team C),,,,,
7,10,"43.5/47 Astronomy (score), 33/54 Chemistry Lab (score), 16/24 Flight (rank)",,"120/205 Astronomy, 164/195 Geomapping, N/A Optics* (Team C)","7/14 Astronomy (rank), 9/11 Detector Building (rank), 7/15 Optics (rank)",,,"106/122 Astronomy, 4/123 Chemistry Lab, ",
8,10,"13/20 Codebusters (rank), 10/21 Optics (rank), 7/15 Air Trajectory (score), 12/24 Flight (rank), 41/45 Tower (score)",,"153/201 Optics*, 151/195 Geomapping (Team B)","14/18 Fermi Questions (rank), 12/15 Optics (rank), 38/59 Write It Do It (score)",,,,
9,12,"3/34 Anatomy & Physiology (rank), 20/83 Disease Detectives (score), 6/21 Ecology (rank), 5/33 Microbe Mission (rank)",,"70/215 Anatomy & Physiology, 76/208 Ecology, 76/193 Microbe Mission (Team A)","16/16 Anatomy & Physiology (rank), 58.2% Ecology (score), 3/22 Microbe Mission (rank)",,,,
10,10,"42.5/47 Astronomy (score), 33/54 Chemistry Lab (score), 14/33 Microbe Mission (rank)",,,"10/14 Astronomy (rank), 52.08% Chemistry Lab (score), 8/22 Microbe Mission (rank)",,,,
11,12,"Subject Director, EM for Forensics, Optics ","4/183 Chemistry Lab, 4/170 Forensics, 233/233 Write It Do It*",,"72.92% Chemistry Lab (score), 2/10 Experimental Design (rank), 2/19 Forensics (rank), 3/15 Optics (rank), 52/59 Write It Do It (score)","1/23 Chemistry Lab, 1/21 Forensics, 8/25 Write It Do It, 7/27 Experimental Design (Team A)","1/48 Chemistry Lab, 5/46 Experimental Design, 2/46 Forensics, 29/44 Write It Do It",,"Chemistry Lab 2/59, 14/59 Experimental Design, Forensics 10/59"
12,11,"39/54 Chemistry Lab (score), 49/83 Disease Detectives (score), 18/33 Forensics (rank)",,"35/184 Chemistry Lab*, 172/201 Disease Detectives, 68/188 Forensics* (Team A)","46.88% Chemistry Lab (score), 68/85 Disease Detectives (score), 8/19 Forensics (rank)",,,,
13,10,"30.5/47 Astronomy (score), 25/54 Chemistry Lab (score), 11/30 Codebusters (rank), 29/37 Fossils (score)",,,"26.04% Chemistry Lab (score), 11/13 Fossils (rank)",,,,
14,11,"26/34 Anatomy & Physiology (rank), 45.5/47 Astronomy (score), 11/21 Ecology (rank), 9/33 Microbe Mission (rank)","99/184 Astronomy, 141/178 Microbe Mission",Trial: 23/53 Precision Medicine (Team B),"6/14 Astronomy (rank), 5/22 Microbe Mission (rank)",,,"Microbe Mission 64/128, 106/122 Astronomy,",
15,12,"3/21 Ecology (rank), 30.75/48 Forestry (score), 36/37 Fossils (score)",,,"110.38% Chemistry Lab (score), 2/11 Forestry (rank), 2/13 Fossils (rank)","2/22 Forestry, 5/24 Fossils, 2/24 Ecology (Team B)",,,
16,10,"45.5/47 Astronomy (score), 3/18 Experimental Design (rank)",,"87/171 Experimental Design, 131/205 Astronomy (Team A)","10/14 Astronomy (rank), 9/10 Experimental Design (rank)",,,,
17,11,"20/34 Anatomy & Physiology (rank), 45/83 Disease Detectives (score), 2/33 Microbe Mission (rank)",,,"51/85 Disease Detectives (score), 22/22 Microbe Mission (rank)",,"11/45 Disease Detectives, 20/44 Microbe Mission",,
18,10,"29/34 Anatomy & Physiology (rank), 11/20 Codebusters (rank), 25/83 Disease Detectives (score)",,,10/13 Dynamic Planet (rank),,,,
19,12,"46/54 Chemistry Lab (score), 2/13 Detector Building (rank), 1/33 Forensics (rank), 1/21 Robot Tour (rank)","4/183 Chemistry Lab, 95/148 Detector Building*, 4/170 Forensics",,"95.31% Chemistry Lab (score), 1/19 Forensics (rank)","1/23 Chemistry Lab, 1/21 Forensics, 1/20 Flight, 1/15 Robot Tour (Team A)","1/48 Chemistry Lab, 14/31 Detector Building, 3/37 Flight, 2/46 Forensics, 14/30 Robot Tour",,"Air Trajectory 6/59, Chemistry Lab 2/59, Flight 17/59, Forensics 10/59"
20,9,"31/83 Disease Detectives (score), 10/21 Ecology (rank)",,,56.56% Ecology (score),,,,
21,9,"18/34 Anatomy & Physiology (rank), 9.5/48 Forestry (score), 32/37 Fossils (score)",,,"12/16 Anatomy & Physiology (rank), 9/11 Forestry (rank), 5/13 Fossils (rank)","6/24 Fossils, 11/22 Forestry (Team C)",,,
22,12,"2/33 Forensics (rank), 28.25/48 Forestry (score)",,,,,,,
23,10,15/21 Robot Tour (rank),,,,,,,
24,11,"3/33 Forensics (rank), 10/21 Ecology (rank)",,,"58.2% Ecology (score), 9/19 Forensics (rank)",,,"55/128 Forensics, ",
25,11,"36.5/37 Fossils (score), 10/48 Forestry (score)",,,,,," 74/130 Forestry, 103/125 Fossils",
26,9,"9/10 Wind Power (rank), 9/24 Flight (rank)",,,10/11 Wind Power (rank),,,,
27,10,"11/13 Detector Building (rank), 17/21 Optics (rank) ",,"48/207 Codebusters, 127/142 Detector Building* (Team C)","8/15 Codebusters (rank), 11/11 Detector Building (rank), 11/15 Optics (rank)","20/26 Codebusters, 18/23 Optics (Team C)",,,
28,12,13/23 Fermi Questions (rank),,,,,,,
29,11,"4/24 Flight (rank), 10/21 Optics (rank), 8/21 Robot Tour (rank), 2/14 Write It Do It (rank)",,"141/201 Optics*, 138/165 Write It Do It, 25/38 Geocaching (Team A)","10/10 Experimental Design (rank), 7/18 Fermi Questions (rank), 26/59 Write It Do It (score)",,,"Experimental Design 81/119, 32/130 Fermi Questions Questions, 103/106 Write It Do It,",
30,11,"10/21 Robot Tour (rank), 20/33 Microbe Mission (rank)",,"92/198 Forestry, 53/188 Forensics* (Team C)","3/19 Forensics (rank), 12/22 Microbe Mission (rank)","2/22 Microbe Mission, 9/15 Robot Tour, 4/21 Forensics (Team C)",,"57/128 Forensics, Microbe Mission 88/129",
31,10,"21/41 Disease Detectives, 11/21 Ecology",,,"20/20 Disease Detectives, 18/25 Ecology, 20/22 Microbe Mission, ",,,,
32,11,"7/33 Forensics, 18/41 Disease Detectives",,,"17/21 Disease Detectives, 9/13 Dynamic Planet, 8/10 Experimental Design, 6/19 Forensics,  ","8/25 Disease Detectives, 4/24 Dynamic Planet, 13/27 Experimental Design (Team B)",,,
33,10,"6/23 Fermi Questions, 6/14 Write It Do It",,"38/198 Fermi Questions, 136/169 Wind Power, 70/171 Experimental Design","1/18 Fermi Questions, 4/15 Write It Do It, ","7/27 Experimental Design, 8/26 Write It Do It, 4/16 Scrambler, 8/22 Tower (Team A)",,"52/119 Experimental Design, Write It Do It 76/106","14/59 Experimental Design, 29/59 Fermi Questions Questions, 18/59 Write It Do It, 37/59 Tower"
34,10,"1/34 Anatomy & Physiology, 11/33 Microbe Mission, 1/15 Dynamic Planet","56/194 Anatomy & Physiology, 93/164 Dynamic Planet*, 29/191 Ecology","52/195 Dynamic Planet, 76/208 Ecology, 76/193","5/16 Anatomy & Physiology, 1/13 Dynamic Planet, 3/25 Ecology, 4/22 Microbe Mission","3/26 Anatomy & Physiology, 2/24 Dynamic Planet, 7/24 Ecology (Team A)","8/48 Anatomy & Physiology, 3/47 Dynamic Planet, 17/47 Ecology",,
35,11,"3/25 Chemistry Lab, 3/24 Flight, 4/33 Forensics",,"35/184 Chemistry Lab, 68/188 Forensics","4/21 Chemistry Lab, 5/19 Forensics, 9/15 Optics, ","4/23 Chemistry Lab, 11/21 Forensics, 10/23 Optics, 2/20 Flight (Team B) ",,"39/123 Chemistry Lab, 57/128 Forensics, Optics 109/117",
36,10,"15/15 Dynamic Planet, 10/34 Anatomy & Physiology",,,"7/16 Anatomy & Physiology, 6/13 Dynamic Planet, ",,,,
37,11,"5/34 Anatomy & Physiology, 1/20 Codebusters, 11/23 Forestry, 8/33 Microbe Mission",,"70/215 Anatomy & Physiology, 24/207 Codebusters","3/16 Anatomy & Physiology, 1/15 Codebusters, 9/22 Microbe Mission, 10/15 Write It Do It,  ","3/26 Anatomy & Physiology, 1/26 Codebusters (Team A)","8/48 Anatomy & Physiology, 2/46 Codebusters, 20/44 Microbe Mission","24/132 Anatomy & Physiology, 47/132 Codebusters,","11/59 Anatomy & Physiology, 8/59 Codebusters"
38,11,"7/13 Detector Building, 2/21 Robot Tour",,,"n/a Detector Building, ",,,,
39,12,"4/34 Anatomy & Physiology, 10/20 Codebusters",,,,,,,
40,11,"2/20 Codebusters, 2/18 Experimental Design, 14/23 Fermi Questions","20/167 Codebusters, 140/170 Experimental Design*","24/207 Codebusters, 149/198 Fermi Questions, 87/171 Experimental Design","2/15 Codebusters, 3/10 Experimental Design, 7/15 Write It Do It, ","3/26 Codebusters, 13/27 Experimental Design, 6/30 Write It Do It (Team B)","2/46 Codebusters, 5/46 Experimental Design, 29/44 Write It Do It","47/132 Codebusters, 50/130 Fermi Questions Questions",
41,12,"6/18 Experimental Design, 5/14 Write It Do It",,,,,,,
42,10,"4/11 Geologic Mapping, 4/10 Scrambler, 5/12 Tower",,,"4/18 Fermi Questions, ","16/19 Air Trajectory, 7/16 Scrambler, 7/22 Tower (Team B)",,"76/132 Codebusters, 32/130 Fermi Questions Questions",
43,12,"1/15 Fossils, 2/23 Forestry","23/177 Forestry, 22/182 Fossils",,"4/11 Forestry, 3/13 Fossils, ","2/22 Forestry, 5/24 Fossils (Team B)",,,
44,12,"Subject Director, EM for Forestry, Fossils","23/177 Forestry, 22/182 Fossils",,"3/11 Forestry, 1/13 Fossils, 2/10 Geologic Mapping,  ","1/22 Forestry, 4/24 Fossils, 2/20 Geologic Mapping (Team A)","8/46 Forestry, 4/40 Fossils",,"9/59 Forestry, 32/59 Fossils"
45,11,"Subject Director, EM for Detector Building, Optics","20/167 Codebusters, 13/166 Fermi Questions Questions, 233/233 Write It Do It*",,"1/11 Detector Building, 1/15 Optics, ","1/26 Codebusters, 8/26 Fermi Questions, 11/23 Optics (Team A)","2/46 Codebusters, 13/45 Fermi Questions, 19/40 Optics","23/132 Codebusters, 11/101 Detector Building, 39/117 Optics, 35/113 Wind Power","8/59 Codebusters, 29/59 Fermi Questions Questions, 42/59 Optics, 14/59 Wind Power, 10/30 Engineering CAD."
46,11,"10/25 Chemistry Lab, 3/21 Robot Tour",,,"6/21 Chemistry Lab, 11/15 Codebusters, ",,,,
47,10,"14/25 Chemistry Lab, 4/18 Experimental Design",,"139/195 Dynamic Planet, 34/208 Ecology, 70/171 Experimental Design","8/25 Ecology, 1/10 Experimental Design, ",,,"39/123 Chemistry Lab, 107/129 Ecology, 52/119 Experimental Design,",
48,10,"7/34 Anatomy & Physiology, 5/41 Disease Detectives",,,"5/20 Disease Detectives, 10/22 Microbe Mission, ",,,,
49,11,11/34 Anatomy & Physiology,,,4/16 Anatomy & Physiology,,,,
50,11,"10/41 Disease Detectives, 10/33 Microbe Mission, ",,Trial: 23/53 Precision Medicine,"17/20 Disease Detectives, 15/22 Microbe Mission, ",,,,
51,11,"19/21 Optics, 4/10 Scrambler",,,"8/15 Write It Do It, ",,,"52/119 Experimental Design, Write It Do It 76/106 Write It Do It",
52,10,"18/23 Fermi Questions, 11/21 Optics",,,"13/18 Fermi Questions, 13/15 Optics, ",,,,
