Name,1st,2nd,3rd,4th,5th
1,127/142 Detector Building*, N/A Optics*, 91/169 Wind Power*,,
2,,,,,
3,103/169 Wind Power*, 149/198 Fermi Questions (Team A),,,
4,,,,,
5,,,,,
6,Trial: 16/37 Horticulture (Team C),,,,
7,120/205 Astronomy, 164/195 Geomapping, N/A Optics* (Team C),,
8,153/201 Optics*, 151/195 Geomapping (Team B),,,
9,70/215 Anatomy & Physiology, 76/208 Ecology, 76/193 Microbe Mission (Team A),,
10,,,,,
11,,,,,
12,35/184 Chemistry Lab*, 172/201 Disease Detectives, 68/188 Forensics* (Team A),,
13,,,,,
14,Trial: 23/53 Precision Medicine (Team B),,,,
15,,,,,
16,87/171 Experimental Design, 131/205 Astronomy (Team A),,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,48/207 Codebusters, 127/142 Detector Building* (Team C),,,
28,,,,,
29,141/201 Optics*, 138/165 Write It Do It, 25/38 Geocaching (Team A),,
30,92/198 Forestry, 53/188 Forensics* (Team C),,,
31,,,,,
32,,,,,
33,38/198 Fermi Questions, 136/169 Wind Power, 70/171 Experimental Design,,
34,52/195 Dynamic Planet, 76/208 Ecology, 76/193,,
35,35/184 Chemistry Lab, 68/188 Forensics,,,
36,,,,,
37,70/215 Anatomy & Physiology, 24/207 Codebusters,,,
38,,,,,
39,,,,,
40,24/207 Codebusters, 149/198 Fermi Questions, 87/171 Experimental Design,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,139/195 Dynamic Planet, 34/208 Ecology, 70/171 Experimental Design,,
48,,,,,
49,,,,,
50,Trial: 23/53 Precision Medicine,,,,
51,,,,,
52,,,,,
53,48/207 Codebusters, 72/208 Ecology, 123/171 Experimental Design, 131/198 Fermi Questions ,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,121/205 Astronomy, 139/195 Dynamic Planet, 92/188 Forensics*,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,20/198 Forestry, 56/142 Detector Building*,,,
67,137/184 Chemistry Lab*, 132/165 Write It Do It,,,
68,,,,,
69,,,,,
70,123/171 Experimental Design, 164/195 Geologic Mapping, 132/165 Write It Do It, 131/198 Fermi Questions, Trial: 20/35 Code Analysis
71,,,,,
72,12/184 Chemistry Lab*, 62/142 Detector Building*, 38/198 Fermi Questions,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,159/165 Write It Do It, 116/197 Fossils,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,65/201 Disease Detectives, 133/197 Fossils, 64/193 Microbe Mission, 53/188 Forensics*,
85,,,,,
86,172/201 Disease Detectives, 66/197 Fossils,,,
87,,,,,
88,89/215 Anatomy & Physiology, 49/201 Disease Detectives, 125/193 Microbe Mission,,
89,136/169 Wind Power*, 152/207 Codebusters, 12/184 Chemistry Lab*, 70/171 Experimental Design,
90,Trial: 20/35 Code Analysis,,,,
91,137/184 Chemistry Lab*, 53/188 Forensics*,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,49/201 Disease Detectives, 116/197 Fossils,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,120/205 Astronomy, 136/195 Dynamic Planet ,,,
106,,,,,
107,,,,,
108,152/207 Codebusters, 92/188 Forensics,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,141/201 Optics*, 131/205 Astronomy, 103/169 Wind Power*,,
116,,,,,
117,153/201 Optics*, 151/195 Geologic Mapping,,,
118,34/208 Ecology, 125/193 Microbe Mission, 82/198 Forestry,,
119,152/207 Codebusters,,,,
120,,,,,
121,,,,,
122,,,,,
123,Codebusters 48/198, Wind Power 91/169,,,
124,,,,,
125,,,,,
126,,,,,
127,Disease Detectives 65/197, Microbe Mission 64/193,,,
128,,,,,
129,,,,,
130,,,,,
131,Trial: Precision Med 16/53,,,,
132,,,,,
133,Astronomy 121/197, Detector Building* 62/142,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,Codebusters 24/207, Detector Building* 56/142, Forestry 20/198, Trial: Geocaching 25/38,
142,Experimental Design. 87/171, Write It Do It 138/165, Geologic Mapping 72/191,,
143,,,,,
144,,,,,
145,,,,,
146,Geologic Mapping 72/191, Dynamic Planet 52/189, Fossils 66/197,,
147,Experimental Design. 123/171, Anatomy & Physiology 136/215, Trial: Geocaching 24/38,,
148,,,,,
149,Anatomy & Physiology 136/215, Forestry 92/198,,,
150,,,,,
151,Trial: Horticulture 28/37, Trial: Precision Medicine 19/53,,,
152,Trial: Horticulture 28/37, Trial: Precision Medicine 19/53,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,Anatomy & Physiology 89/215, Forestry 82/198,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,Trial: Horticulture (Team C) 16/37,,,,
163,,,,,
164,,,,,
