Name,1st,2nd,3rd,4th,5th
1,12/34 Anatomy & Physiology (rank), 9/13 Detector Building (rank), 5/21 Optics (rank),,
2,40/47 Astronomy (score), 34/45 Tower (score),,,
3,11/18 Experimental Design (rank), 12/23 Fermi Questions (rank), 13/14 Write It Do It (rank), 7/10 Wind Power (rank),
4,13/34 Anatomy & Physiology (rank), 27.5/47 Astronomy (score),,,
5,7/21 Ecology (rank), 14/23 Fermi Questions (rank),,,
6,31.5/37 Fossils (score), 11/36 Geologic Mapping (score),,,
7,43.5/47 Astronomy (score), 33/54 Chemistry Lab (score), 16/24 Flight (rank),,
8,13/20 Codebusters (rank), 10/21 Optics (rank), 7/15 Air Trajectory (score), 12/24 Flight (rank), 41/45 Tower (score)
9,3/34 Anatomy & Physiology (rank), 20/83 Disease Detectives (score), 6/21 Ecology (rank), 5/33 Microbe Mission (rank),
10,42.5/47 Astronomy (score), 33/54 Chemistry Lab (score), 14/33 Microbe Mission (rank),,
11,Subject Director, EM for Forensics, Optics ,,
12,39/54 Chemistry Lab (score), 49/83 Disease Detectives (score), 18/33 Forensics (rank),,
13,30.5/47 Astronomy (score), 25/54 Chemistry Lab (score), 11/30 Codebusters (rank), 29/37 Fossils (score),
14,26/34 Anatomy & Physiology (rank), 45.5/47 Astronomy (score), 11/21 Ecology (rank), 9/33 Microbe Mission (rank),
15,3/21 Ecology (rank), 30.75/48 Forestry (score), 36/37 Fossils (score),,
16,45.5/47 Astronomy (score), 3/18 Experimental Design (rank),,,
17,20/34 Anatomy & Physiology (rank), 45/83 Disease Detectives (score), 2/33 Microbe Mission (rank),,
18,29/34 Anatomy & Physiology (rank), 11/20 Codebusters (rank), 25/83 Disease Detectives (score),,
19,46/54 Chemistry Lab (score), 2/13 Detector Building (rank), 1/33 Forensics (rank), 1/21 Robot Tour (rank),
20,31/83 Disease Detectives (score), 10/21 Ecology (rank),,,
21,18/34 Anatomy & Physiology (rank), 9.5/48 Forestry (score), 32/37 Fossils (score),,
