Name,1st,2nd,3rd,4th,5th
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,1/23 Chemistry Lab, 1/21 Forensics, 8/25 Write It Do It, 7/27 Experimental Design (Team A),
12,,,,,
13,,,,,
14,,,,,
15,2/22 Forestry, 5/24 Fossils, 2/24 Ecology (Team B),,
16,,,,,
17,,,,,
18,,,,,
19,1/23 Chemistry Lab, 1/21 Forensics, 1/20 Flight, 1/15 Robot Tour (Team A),
20,,,,,
21,6/24 Fossils, 11/22 Forestry (Team C),,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,20/26 Codebusters, 18/23 Optics (Team C),,,
28,,,,,
29,,,,,
30,2/22 Microbe Mission, 9/15 Robot Tour, 4/21 Forensics (Team C),,
31,,,,,
32,8/25 Disease Detectives, 4/24 Dynamic Planet, 13/27 Experimental Design (Team B),,
33,7/27 Experimental Design, 8/26 Write It Do It, 4/16 Scrambler, 8/22 Tower (Team A),
34,3/26 Anatomy & Physiology, 2/24 Dynamic Planet, 7/24 Ecology (Team A),,
35,4/23 Chemistry Lab, 11/21 Forensics, 10/23 Optics, 2/20 Flight (Team B) ,
36,,,,,
37,3/26 Anatomy & Physiology, 1/26 Codebusters (Team A),,,
38,,,,,
39,,,,,
40,3/26 Codebusters, 13/27 Experimental Design, 6/30 Write It Do It (Team B),,
41,,,,,
42,16/19 Air Trajectory, 7/16 Scrambler, 7/22 Tower (Team B),,
43,2/22 Forestry, 5/24 Fossils (Team B),,,
44,1/22 Forestry, 4/24 Fossils, 2/20 Geologic Mapping (Team A),,
45,1/26 Codebusters, 8/26 Fermi Questions, 11/23 Optics (Team A),,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,1/26 Codebusters, 2/25 Disease Detectives, 3/22 Microbe Mission (Team A),,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,1/26 Anatomy & Physiology, 10/26 Fermi Questions, 14/22 Microbe Mission (Team B),,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,18/30 Air Trajectory, 7/30 Scrambler, 6/30 Fermi Questions, 6/30 Tower,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,5/30 Robot Tour, 6/30 Write It Do It, 10/30 Fermi Questions,,
71,,,,,
72,2/30 Chemistry Lab, 6/30 Fermi Questions,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,3/30 Flight, 2/30 Write It Do It,,,
78,Alternate,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,2/30 Flight, 7/30 Scrambler, 7/30 Tower,,
84,a,,,,
85,,,,,
86,,,,,
87,,,,,
88,1/30 Disease Detectives, 2/30 Microbe Mission, 17/30 Ecology, 5/30 Anatomy & Physiology,
89,20/30 Codebusters, 5/30 Wind Power,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,18/19 Air Trajectory (TEAM C), 6/22 Tower, 3/20 Flight, 7/16 Scrambler (10-way tie),
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,1/25 Disease Detectives, 5/26 Anatomy & Physiology, 11/22 Forestry,,
105,,,,,
106,5/23 Astronomy (TEAM A), 8/26 Fermi Questions, 4/18 Wind Power, 2/19 Geologic Mapping,
107,,,,,
108,3/26 Codebusters, 11/21 Forensics, 5/20 Geologic Mapping, 14/24 Dynamic Planet,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,1/26 Anatomy & Physiology, 2/24 Ecology,,,
114,,,,,
115,10/23 Optics, 1/18 Wind Power, 4/23 Chemistry Lab, 13/27 Experimental Design,
116,,,,,
117,11/23 Astronomy, 5/20 Geologic Mapping, 1/18 Wind Power,,
118,3/22 Microbe Mission, 7/24 Ecology, 2/25 Disease Detectives,,
119,,,,,
120,,,,,
121,Optics 10/30, Disease Detectives 8/30, Experimental Design. 13/30,,
122,,,,,
123,Codebusters(rank) 7/15, Wind Power(rank) 3/11,,,
124,,,,,
125,Experimental Design 6/30, Forestry 11/30, Write It Do It 2/30,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,Alternate ,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,Forestry 1/30, Robot Tour 1/30,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,Astronomy 5/30, Dynamic Planet 2/30, Fossils 4/30,,
147,,,,,
148,Alternate ,,,,
149,,,,,
150,Dynamic Planet 5/30, Ecology 17/30, Fossils 6/30,,
151,Scrambler 4/16, Tower 8/22, Air Trajectory 9/19,,
152,Alternate,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,Optics 11/23, Wind Power 4/18, Experimental Design 7/27,,
162,,,,,
163,,,,,
164,,,,,
