Name,1st,2nd,3rd,4th,5th,6th
1,8/14 Astronomy (rank), 10/11 Detector Building (rank), 8/15 Optics (rank),,,
2,,,,,,
3,7/10 Experimental Design (rank), 18/18 Fermi Questions (rank), 11/11 Wind Power (rank),,,
4,13/16 Anatomy & Physiology (rank),,,,,
5,57.79% Ecology (score),,,,,
6,,,,,,
7,7/14 Astronomy (rank), 9/11 Detector Building (rank), 7/15 Optics (rank),,,
8,14/18 Fermi Questions (rank), 12/15 Optics (rank), 38/59 Write It Do It (score),,,
9,16/16 Anatomy & Physiology (rank), 58.2% Ecology (score), 3/22 Microbe Mission (rank),,,
10,10/14 Astronomy (rank), 52.08% Chemistry Lab (score), 8/22 Microbe Mission (rank),,,
11,72.92% Chemistry Lab (score), 2/10 Experimental Design (rank), 2/19 Forensics (rank), 3/15 Optics (rank), 52/59 Write It Do It (score),
12,46.88% Chemistry Lab (score), 68/85 Disease Detectives (score), 8/19 Forensics (rank),,,
13,26.04% Chemistry Lab (score), 11/13 Fossils (rank),,,,
14,6/14 Astronomy (rank), 5/22 Microbe Mission (rank),,,,
15,110.38% Chemistry Lab (score), 2/11 Forestry (rank), 2/13 Fossils (rank),,,
16,10/14 Astronomy (rank), 9/10 Experimental Design (rank),,,,
17,51/85 Disease Detectives (score), 22/22 Microbe Mission (rank),,,,
18,10/13 Dynamic Planet (rank),,,,,
19,95.31% Chemistry Lab (score), 1/19 Forensics (rank),,,,
20,56.56% Ecology (score),,,,,
21,12/16 Anatomy & Physiology (rank), 9/11 Forestry (rank), 5/13 Fossils (rank),,,
22,,,,,,
23,,,,,,
24,58.2% Ecology (score), 9/19 Forensics (rank),,,,
25,,,,,,
26,10/11 Wind Power (rank),,,,,
27,8/15 Codebusters (rank), 11/11 Detector Building (rank), 11/15 Optics (rank),,,
28,,,,,,
29,10/10 Experimental Design (rank), 7/18 Fermi Questions (rank), 26/59 Write It Do It (score),,,
30,3/19 Forensics (rank), 12/22 Microbe Mission (rank),,,,
31,20/20 Disease Detectives, 18/25 Ecology, 20/22 Microbe Mission, ,,
32,17/21 Disease Detectives, 9/13 Dynamic Planet, 8/10 Experimental Design, 6/19 Forensics,  ,
33,1/18 Fermi Questions, 4/15 Write It Do It, ,,,
34,5/16 Anatomy & Physiology, 1/13 Dynamic Planet, 3/25 Ecology, 4/22 Microbe Mission,,
35,4/21 Chemistry Lab, 5/19 Forensics, 9/15 Optics, ,,
36,7/16 Anatomy & Physiology, 6/13 Dynamic Planet, ,,,
37,3/16 Anatomy & Physiology, 1/15 Codebusters, 9/22 Microbe Mission, 10/15 Write It Do It,  ,
38,n/a Detector Building, ,,,,
39,,,,,,
40,2/15 Codebusters, 3/10 Experimental Design, 7/15 Write It Do It, ,,
41,,,,,,
42,4/18 Fermi Questions, ,,,,
43,4/11 Forestry, 3/13 Fossils, ,,,
44,3/11 Forestry, 1/13 Fossils, 2/10 Geologic Mapping,  ,,
45,1/11 Detector Building, 1/15 Optics, ,,,
46,6/21 Chemistry Lab, 11/15 Codebusters, ,,,
47,8/25 Ecology, 1/10 Experimental Design, ,,,
48,5/20 Disease Detectives, 10/22 Microbe Mission, ,,,
49,4/16 Anatomy & Physiology,,,,,
50,17/20 Disease Detectives, 15/22 Microbe Mission, ,,,
51,8/15 Write It Do It, ,,,,
52,13/18 Fermi Questions, 13/15 Optics, ,,,
53,1/15 Codebusters, 8/20 Disease Detectives, 10/25 Ecology, 5/18 Fermi Questions, 2/22 Microbe Mission,
54,15/16 Anatomy & Physiology, 6/22 Microbe Mission, ,,,
55,6/25 Ecology, 4/13 Fossils, ,,,
56,10/15 Codebusters, 11/13 Dynamic Planet, 7/25 Ecology, ,,
57,2/16 Anatomy & Physiology, 8/22 Microbe Mission, ,,,
58,8/16 Anatomy & Physiology, 16/18 Fermi Questions, 7/22 Microbe Mission, ,,
59,,,,,,
60,,,,,,
