Name,1st,2nd,3rd,4th,5th
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,4/183 Chemistry Lab, 4/170 Forensics, 233/233 Write It Do It*,,
12,,,,,
13,,,,,
14,99/184 Astronomy, 141/178 Microbe Mission,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,4/183 Chemistry Lab, 95/148 Detector Building*, 4/170 Forensics,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,56/194 Anatomy & Physiology, 93/164 Dynamic Planet*, 29/191 Ecology,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,20/167 Codebusters, 140/170 Experimental Design*,,,
41,,,,,
42,,,,,
43,23/177 Forestry, 22/182 Fossils,,,
44,23/177 Forestry, 22/182 Fossils,,,
45,20/167 Codebusters, 13/166 Fermi Questions, 233/233 Write It Do It*,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,20/167 Codebusters, 46/168 Disease Detectives,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,56/194 Anatomy & Physiology, 46/168 Disease Detectives,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,13/166 Fermi Questions, 40/166 Optics,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,29/191 Ecology, 141/178 Microbe Mission,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,140/170 Experimental Design*, 60/173 Geologic Mapping, 21/159 Wind Power,,
143,,,,,
144,,,,,
145,,,,,
146,99/184 Astronomy, 93/164 Dynamic Planet*, 60/173 Geologic Mapping,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,95/148 Detector Building*, 40/166 Optics, 21/159 Wind Power,,
162,,,,,
163,,,,,
164,,,,,
