Name,1st,2nd,3rd,4th,5th
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,Chemistry Lab 2/59, 14/59 Experimental Design, Forensics 10/59,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,Air Trajectory 6/59, Chemistry Lab 2/59, Flight 17/59, Forensics 10/59,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,14/59 Experimental Design, 29/59 Fermi Questions, 18/59 Write It Do It, 37/59 Tower,
34,,,,,
35,,,,,
36,,,,,
37,11/59 Anatomy & Physiology, 8/59 Codebusters,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,9/59 Forestry, 32/59 Fossils,,,
45,8/59 Codebusters, 29/59 Fermi Questions, 42/59 Optics, 14/59 Wind Power, 10/30 Engineering CAD.
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,8/59 Codebusters, 42/59 Disease Detectives, 28/59 Microbe Mission,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,16/59 Robot Tour, 18/59 Write It Do It,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,11/59 Astronomy, 24/59 Dynamic Planet, 14/59 Geomapping,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,11/59 Anatomy & Physiology, 44/59 Ecology,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,42/59 Disease Detectives, 44/59 Ecology, 28/59 Microbe Mission,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,Air Trajectory 6/59, Flight 17/59, 54/59 Scrambler, 37/59 Tower,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,9/59 Forestry, 16/59 Robot Tour, 54/59 Scrambler, 10/30 Engineering CAD.,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,11/59 Astronomy, 24/59 Dynamic Planet, 32/59 Fossils, 14/59 Geomapping,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,14/59 Experimental Design, 42/59 Optics, 14/59 Wind Power,,
162,,,,,
163,,,,,
164,,,,,
